,AndroidUrls,Heading,AndroidContent
0,http://1000projects.org/simple-android-application-project-ideas.html,simple android application project ideas.," 1) Nowadays the fruits which are coming to the market are full of chemicals using AI we have to scan the fruits how much chemical content is used if more than limit it will give an acknowledgment. 2) In class, there will be some students who will come to class at morning and they will not attend to next classes so we will track them by using their GPS tracker and if the students are not present the message will send to hod through the internet. 3) The project is aimed to develop an android application by which the users can send the information/alerts about a particular location to the people so that the people who are planning to go to that location can avoid to visit it for some time and it also sends alerts to people nearby that the particular location is affected.           4) Smart device tracking system using Arduino UNO and gsm module to protect the device from theft and send an alert message to the alternate mobile number provided by the user. 5) Create an android application or a Web Page (which one is easy u can do it no problem). You may include these names as the references example 1) The Hindu. 2) The Indian Express. Put the option to watch Videos and chat (optional you can include the icon if it is easy u can do it). Finally, you can do whatever you want to look good!! but please follow the Indian news(You can google it in online some of the web news applications or web pages) 6) Attendance Manager APP Title of the project:-  Attendance Manager Platform Utilized:-  Android Studio Problem Statement:-  In the present system, attendance calculation is done using the Excel sheet which consumes time. Proposed Statement:-  Our proposed system is to make ensure that the calculation of attendance, reports generation on monthly, cumulative and semester wise attendance can be automated which becomes helpful to the college administration and makes the work easier and simpler. Besides this, we also generate reports on the students who are having greater than 75% attendance, 65% – <75% and <65% every month so that any student’s attendance can be easily checked. Module Details:-   Login Screen, Home Screen(import excel sheet, posting of attendance, report generation)            "
1,http://1000projects.org/development-of-institutional-app-using-android-studio.html,development of institutional app using android studio.," This project is aimed at developing an Android application for the institution. This is performed by using the Android studio. The main idea of this app is to overcome the time required to search for any information and also removes the delay in accessing any web page. It is more secure, portable, easily installed and used on any mobile phones supporting Android OS. Provides interface which is easy to understand by the users and greatly helps in adapting to the use of this application. This Institutional App majorly consists of Student login, Parent login and updates from Training and Placement Officer. student login consists of student profile, notice board, events, request books. Parent login includes student profile, marks, and attendance. Training and Placement Officer is to manage the student information and also updates notifications regarding placements.            Purpose: The main objective of developing this Institutional app is to support mobility and automation to the process of managing student information. Scope: It is designed with respect to students and parents point of view Existing System with Con’s  In the Existing System, all the information is either in hard file or website Searching is too difficult Not much secure No login for parents  Proposed System with Pro’s  The proposed system is an android application Easy to use parents can view their wards academic details secure used for managing students details, marks, attendance, notifications, events. Searching time will be less.  Modules:  Administrator Student parent  Functional requirements:  Registration Login Reset password Administration Logout  Software Requirements  Application Architecture – J2ME database Application: Google Firebase Project Type: Mobile Application Designing Tool – Android Studio Operating System – Android  Conclusion: This android app is an application which contains information regarding students details like attendance, marks, events from Training and Placement officer TPO. Also students marks and attendance available for parents in the parent portal. This information can be accessible from anywhere and anytime using an android device. Home Page  Registration Page  Login Page  App Menu Items  Student Login Page This Project developed by using the android studio and firebase.            "
2,http://1000projects.org/real-time-bus-tracking-system-android-app.html,real time bus tracking system android app.," Development of Bus tracking Android application which will do these things: 1) This real-time bus tracking system with functionalities like ETA, bus recommendation. 2) The user should be able to see the real-time bus movement and if he taps on the bus in the map. 3) The bus should show it’s route and destination. The person who is on the bus should have a different app in which he will input the source destination. 4) And the user app will be a different app. 5)That person on the bus will be the driver and he will enter the bus number through his smartphone and will be using the bus app not that user app. 6)After entering the bus number the bus now will be shown on the map which will be seen by the user by using a user app. 7)Yes, we need settings options for driver end side like on and off for tracking and update bus details. This android project includes four main modules or features below           1. Get the user’s current location and notify him his nearby local bus stops and their names and distance and time to get to the bus stop. 2. Get the source and destination points from the user and mention him all the local bus numbers through the route and the route map as well. 3. He can be able to check his nearby places as well like, hospitals, police stations, malls, atm etc. 4. He can share his location with anyone through social media. This is a real-time bus tracking system project in whole. Two of our previous major projects namely, BRTS project and CITY BUS MNGMNT ANDROID APP covers these first two modules.            "
3,http://1000projects.org/leave-management-system-project-app.html,leave management system project app.," Project Description: It’s a leave management system project, used in any organization. The Leave Management module in the company allows their employees to manage their own leaves data. Employees can apply for leave via a mobile application (platform independent) and view their leave record with information on leaves availed, canceled along with the annual leave balance summary. All leave applications go through an automatic approval process, wherein, the employee’s manager is informed of leave applications via an automatic email generated by the system or a notification in the app.           Key basic minimum requirements of the Mobile App Leave Management are: Client Side App: There should be 3 types of accounts involved in this Leave management system Android App  Employee account Manager account LMS admin account  1. The user should apply to leave through the Leave Management System. 2. Once you log in, You should see your profile page.(your photo, emp id, emp_name, joining date,manager_name) 3. There should be a navigation Menu. (where Each Menu Item has a unique functionality) 4. Menu Tab1 -> apply for leave,(when you apply to leave an email should trigger to the manager of the employee -> email content should display the leave summary(how many CL /SL/EL’s ) does the employee has.) email and notification in the app to the manager account. 5. Menu Tab2 -> should display leave a summary of the person who logged in. (total casual leaves/ sick leaves/total leave taken and so on) 6. Menu Tab3 -> (manager specific activity) -> should be able to see who all are in left in his team. 7. Menu Tab4 -> additional functionality based upon your ideas is appreciated. 8. Menu Tab5 -> Holiday calendar of the year. (Calendar should color out the applied leaves by the person) 9. Design should be material/cards design. The development environment must include: XAMARIN/VISUAL STUDIO (C#), should use rest API and JSON to fetch the data.            "
4,http://1000projects.org/health-expert-on-the-go-app-android-project.html,health expert on the go app android project.,"  Existing System  Introduction: The existing system is the one in which many useful applications are available for a user. A user is only required to know how to operate the application and he does not need to worry about its back-end working at all. Existing Software           In this era of applications we have applications to check our Body Mass Index (BMI), calories burned/consumed, issue an emergency alert to our relatives or friends, give useful information about hair care and skin care and many more. What’s new in the system to be developed? New features which have been added to the existing system using this application are Child health, Medico-alert, Emergency, Massager and a Forum for users to put their queries in. (i) Child Health In this busy world where both the parents are working of most of the newborn babies, there arises a need for a reminder to notify parents about the due date of various vaccination of their child. This feature has been taken care of in ‘Child Health’ module of this application. Parents need to only enter their child’s name and his/her date of birth and time at the time of installation of this application. A list of 16 vaccinations appears in another activity with due date and name of the due Vaccination. One can enter data about ‘n’ number of children in one application at a time.  (ii) Medico Alert In this part of the application, one has to spend some time only to enter the name of the medicine he is prescribed to take and at what time he is supposed to take it. Rest of the task is done by this application. The user does not then need to remember his time of medicine. He will be notified at that time. An alarm will be raised as a reminder to his medicine. (iii) Massager In this part of the application, we have made a mobile to vibrate very heavily so as to act as a massager. A user can start and stop the vibration according to his need with the help of start/stop buttons. By default, it will vibrate for 15 seconds (iv) Forum In this module of the application, a user can enter any query related to his health. He will be directed to a log-in page. He can send us n email regarding his query and we will reply him back with appropriate suggestions and recommendations within 24 hours. In this application, all these features have been integrated with the pre-existing ones that were mentioned above. So in all the features of this application are:            Child Health, Medico Alert, Weight-o-meter, Calorie-Counter, Emergency, Hair Care, Skin Care, Massager, Leave your query.  DFD for the present system Level 0 Data Flow Diagram   Level 1 DFD  Level 2 DFD   Problem Analysis Product Definition  There exist a lot of health issues that one faces in our daily lives. People today believe in saving their precious time as much as possible. So people today prefer to go to see a doctor only when it is very much needed. People may take help from the internet to get an advice to tackle with such health issues. But there still exists a need for something better which can help them to get a relief from the problem. In such a scenario there exists a need to develop an application which can take care of such issues readily at home/office. ‘Health Expert On The Go’ is an app developed with a lot of features like: (i) Calorie Counter (ii) weight-o-meter (iii) Emergency (iv) Hair and skin care (v) FAQ’s (vi) Massager (vii) Medico alert (viii) Childcare (ix) Forum (i) Calorie Counter This feature is included in this app so that user can come to know what amount of calories he has consumed and what amount of it he has burned in a day. This, if used sincerely, can help the user to prepare his diet chart very well.  (ii) Weight-o-meter With this module of the app, a person will be able to check his/her Body Mass Index (BMI) just in one step. He will only need to enter his age, weight, and height. After submitting these values on pressing the submit button the user will be shown his BMI and also will be told if he his underweight or overweight.  (iii) Emergency This module has been developed keeping in mind a very serious condition which may occur to anyone anytime. It may happen that a person when alone undergoes a serious life-threatening condition. In such a case the person can take help of this app by just pressing one button. On pressing the ‘panic’ button a message and a mail for help will be sent to three people and a call will also be made. Data for all these people must be provided at the time of installing the app. (iv) Hair and skin care This module of the app is developed for girls especially because they are more worried about their skin and hair issues than boys. This part of the app contains some very useful data about skin and hair. (v) FAQ’s This part of the app contains within it answers to some of the very frequently asked questions so that a user does not need to waste his time in searching for the answer. (vi) Massager This part of the app makes a mobile act like a massager. A user can start/stop it according to his need. By default, it will work for 15second only. (vii) Medico alert With this part of the app, the user will not skip his medicines because of his hectic schedule at the office. (viii) Childcare This part of the app is basically for the use of parents. Parents with the help of this will not forget to take their child to get him vaccination. (ix) Forum In this form, users can put their queries in and we will reply them back with suggestions and remedies within 24 hours. 4.2 Feasibility Analysis Looking at the operational perspective of the feasibility analysis this app will work very well and will be able to tackle all the issues it is made for. Economically this app is feasible as all it requires is internet connectivity for some of its modules. Technically this app is supported in all the versions of android above 3.0. Basically, this app has some features like Action bars which were first introduced in API level 11.  Software Requirement Analysis Introduction The software requirements specification document enlists enough and necessary requirements that are required for the project development. This document enlists all the important requirements for the operational feasibility of the app both, hardware and software. The requirements such as the software feasibility, operating system, the interface etc. are incorporated in this chapter. 5.2 General Description In daily life we need an assistant to take care of our health, so we provide you the same through our application. We provide you many features in a single app. Using this app you will not need a doctor until and unless you are very seriously ill. So this app is named ‘Health Expert On The Go’. Health Expert The On Go is an application which has got programs that can help you keep track of your health like Calorie counter, Weight-o-meter, Medico alert, Child health and many more.  5.3 Specific Requirements (i) Platform:  Java, Eclipse, adt bundle. (ii) OS: Windows 7 or 8. (iii) Interface:  GUI.  Testing Functional Testing Creating Functional Tests Functional testing involves verifying that individual application components work together as expected by the user.    Function Input Expected value Output Accuracy   Calorie consumed Almonds 100 gm"
5,http://1000projects.org/android-banking-application-development-student-project.html,android banking application development student project.," Objective The objective of this project is to create a small android project based on the statement given (below) by using the concepts and examples learned during the course of the basic Android Application Development training. The conceived project requires about a dedicated 8 – 10 hours of effort (spread over 1 – 2 weeks) and the users can create the project based on the learnings on the Android Application Development Program. The essential idea of this project is to ensure an overall understanding of the subject of the Android platform by the student, his / her ability to understand the concepts of the Android mobile platform, features and use these in the project building exercise. Completion of this project helps the participant to gain more hands-on experience, better confidence in thinking in terms of mobility and its framework, its limitations, and its importance in the present-day technology context. Project Statement Banking Organizations managing Savings, Current and Loan and other variety of operations for its worldwide clients. Invasion of the Internet and the rampant revolution in the usage and spread of smartphones by individuals and professionals in the world have made it think of enabling their clients to do all the banking activities using their smartphones. In this direction, it has approached you (as an expert on Android Development Platform) to create an Android Platform based application that is capable of doing the following operations:  Log in to the account securely View Statement of Account View last 10 Transactions Fund Transfer to another internal bank Account Receive Fund Transfer from another internal bank Account Make Utility Payments Logout Securely  The Student should use the following key features of the Android Platform:            Activities Intents Content / SQLite Database Services  User Interface Components Each participant is encouraged to use one or more of the following UI features in one or more activities in the mobile application. Make sure that you use appropriate View and View Group combinations from the following to create the final App.  Layouts TextView EditText Button Dialogs Lists and Adapters Scroll Views Radio Buttons Checkboxes ImageView ImageButtons Progress Bar Date Picker Time Picker Fragments Navigator Drawer Toggle Button Custom List Recyclerview Testing the Application  Resources and Miscellaneous The participants must make suitable use of the following Resources  XML, including themes Res/drawable images Material design, including polish and, publish  Mandatory Features in the Application  Intents – Implicit or Explicit as appropriate Services (mandatory) Content / Content Provider / SQLite Database (mandatory)  Other Features  The flow between activities must be logical and smooth. Don’t force-fit a component or a feature. Use Images, colors, and themes for Application, Group of activities or a specific activity. Use appropriate components for appropriate features. For example, Phone EditText for a phone number, or E-mail EditText for Email, etc. Use your own Logo (your own PNG logo file instead of the default ic_launcher.png) for the application. The application should use domain related features as well. For example, a transaction initiated after 5:30 PM should be effectuated the next working day at 9:00 AM. Bank holidays should be observed for initiating the transaction. (optional) Threads and AsyncTask features for background application (optional)  Deliverables As a part of the application, the student will develop a fully functional application that is tested for all errors and/or exceptions. Additional features, components, UIs etc. not mentioned in the project statement above, can be appropriately used. Please note that Android Studio 2.1.2 should be used and the minimum SDK Version that needs to be compiled is for Android SDK Version 17.            "
6,http://1000projects.org/blood-bank-management-system-web-and-android-app.html,blood bank management system web and android app.,"  Project Title: Blood Bank Management System Category: Application Development, Enterprise.   Objective: The Main Objective of this System is to design an Android Application to maintain considerable information of the Patients, Donors, report details for any blood-related organization. Description: To develop an Android Mobile Application where blood donors can install the application and register with their name, E-Mail, valid ID, phone number, providing them Navigation for hospitals. And web-application where hospitals request blood bank for blood and blood banks with admin. Admin will send notifications to the users with Hospital details for the user to locate the hospital in their nearby area. The application also keeps a record of the donor’s health record for future reference. Blood seekers can request for blood to the administrator. Purpose:           This project consists of two parts:  Users (mobile application) Administrator and blood banks (web application)  Users (mobile application):  User should register for using this app. With their name, contact no, emailed, blood group etc., after successfully register user can get notification of blood request. The user can make a decision on the request whether he accepting the request or ignore the request. The user can share that request through facebook, twitter. The user can get directions from his current location to blood requesting location (hospital). The user can get information if the requesting person got a donor. The user can update details. The user can get the feedback about blood if they caught any problem in the blood. The user can get information of symptoms, telemedicine link, and doctor details. Administrator and blood banks: A web application that can be used by the Admin to add blood requests of the patient after successful login. Admin will fill the details of blood request like patient name, blood group, contact number and choose the patient (hospital) location on the Google map address and latitude and longitude are filled automatically when admin click on a particular location in the map, admin can edit the address. Immediately after the location selected by admin displaying a list of a donor who is near to that particular location. Admin can increase the radius to get donor list more. If admin submits the form for blood request notifications will send to the donors. If there is any problem find in the blood admin will notify that to the user. Admin can select the donor by mobile number or name or serial number. Functional Requirements:  ADMIN PAGE who have contacts with blood banks, Donors will download the application and REGISTER with ID, DOB, phone no., blood group etc. Admin will send NOTIFICATION to the application users. Admin can locate people who are nearby. Admin can sort-out people who can come in emergency and send a notification to everyone if he gets a donor. Provide NAVIGATION to the hospital who require blood to reach as soon as possible. RECORD of donors information along with their details  No. of Users Authenticated users only. Hardware Requirements:   Android mobile with a minimum version 2.2. The processor is not less than 500MHZ. RAM is not less than 2048MB. SD card with a minimum of 512MB. Resolution is not less than 480*800pixs.  Software Requirements:   Mobile Operating System: Android 2.2 or Later Server Operating System: Windows XP or Later Tools (IDE): Eclipse or Android Studio User Interface: XML Code Behind: JAVA and XML Telephony Service: Yes Internet: Yes             "
7,http://1000projects.org/student-fees-management-system-android-app.html,student fees management system android app.," Abstract Hello, to develop an Android program related to Student fees management system consisting of Homepage, login page and features of the app are students can check their fee details, due fees, and date etc., through app along with SQLite database (local server). Our project Student Fees Management System tracks all the details of a student from the day one to the end of his course which can be useful for all reporting purpose, tracking enrolment, status and all these will be available for future references too. We are developing an Android App using which every aspect related to fees can be involved.           Today majority of mobile users are Android users. So, we choose Android as a platform to develop the App. Through this, parents need not approach college every time for fees. They can get entire information like pending fees, paid fees, due date etc., just on single click on their mobile. Also easy for the college to maintain all these aspects just by updating the database. This App is entirely GUI based i.e., user-friendly since the users also include the parents it is easy to understand and operate. It also includes the attendance of the student apart from the fees details. want this app as user-friendly because we want to provide this to our college so that parents can check the fees details of their children through this app. Our main aim is that all the fees details like total fees, due fees, due date and all categories like a bus, tuition, exam, university fees etc, of a student, can be checked through the app. Whenever a student pays some fees in the college his/her record should be updated and can get same info through the app. Home screen should have Admin login(college staff) and normal login(for students and parents both can log in through student id) Admin should have rights to add, delete, update a student record and normal users should be able to check the fees details only. Also, they should get notified about due date ie., last date for fee payment. The student should log in through his unique ID has username and password and can change his/her password. Forgot password option should be worked through student mail. SQLite database should be used. As part of an academic career, we want to show the working of this app through our phones with some 50 records. And we ask our college management to provide economic help in order to implement it in a full-pledge manner. So that all the students can utilize this facility.            "
8,http://1000projects.org/food-ordering-system-using-context-aware-computing-project.html,food ordering system using context aware computing project.," Abstract: In this Food Ordering System project, pop-up messages will inform the user about the existence of this application in the mobile device once moving from one location to another. This Food Ordering System application provides more comfort for the users in ordering the food and to avoid the railway catering system. Features:            Uses the GPS from Android mobile to match the current location. Automatically sends a message for Order once it is placed. Displays on the Screen a message.  Existing System:  The user needs to Order the Food from the platform which seems to be unhygienic food. Food which ordered not correctly packed Use of unhygienic plastic to serve food  Proposed System:  In this Food Ordering System project, we use the GPS of an Android-based Smartphone to record and analyze various locations that could give alert to the user, then asking the user to select particular food from given hotel list and place an order.  Modules:  Device Background module Phone Orientation and Location module  UML Diagrams: Activity Diagram:  Class Diagram:  Collaboration Diagram:  Sequence Diagram:  Use Case Diagram:  Download the Food Ordering System using Context-Aware Computing  Android App Project            "
9,http://1000projects.org/food-app-restaurant-food-ordering-service-in-trains.html,food app restaurant food ordering service in trains.," EXISTING SYSTEM DESCRIPTION In the existing system, there is no such restaurant food ordering service for providing food services for passengers on the train. Railway catering is the only option for passengers to get food. Passengers face several problems in trains with unhygienic food. There are several cases where passengers faced health problems due to unhygienic food provided in trains. Limitations of the existing system            Due to unhygienic food provided on trains, passengers’ health will be affected. Without good food, small children in train journey also will have health problems like indigestion etc.  PROPOSED SYSTEM DESCRIPTION This is an android application which is designed to order the food online while travelling by train. While travelling a long distance by train the main problem we face is food. To overcome such a problem we want to develop a mobile application through which we are ordering the food online. If the person wants to order food he/her can directly order the food so that the food is delivered directly to your seat and the cash-on-delivery process takes place between the customer and the person who delivers the food to us from the particular restaurant which we order. Features of Proposed System:  Ordering the food online while travelling by train. Provide more comfort for the users in ordering the food. To avoid the unhygienic railway catering system. The passengers can overcome the problems faced regarding their food need Complaints / Reviews can also be given about the food service      MODULE DESCRIPTION Modules User Module Description In this user should install the application and then he should register into it. Registering into the application requires some fields such as email id, phone number. After registering into the application he/she user has to enter from and to address. Then the list of restaurants in various locations is displayed. Each restaurant displays the menu of a wide variety of food items. From that menu, the user can select the restaurant and food items and can order the food before reaching that particular station. The order consists of a list of food items along with passenger details like PNR number, train number, compartment number, berth and seat number. When the food is delivered to him, he pays the bill. Restaurant Management Module: The restaurant management receives the order. He can see the order in the same app and sends a person to deliver the food to the passenger. As the train waits for sometime in the railway station and with the help of passenger’s details, the restaurant person can get on the train and deliver the food to passenger and collects the bill amount. The mode of payment is cash-on-delivery. Also, there is a facility of complaint box, where complaints about the quality of food can be given to restaurant management. So that the restaurant management can improve their quality of service. The restaurant management can see the list of orders date-wise. This Project is an android app for ordering food sitting in the train and giving the berth information. The main requirement of this project is to provide an android app same as this which relates to food ordering and railways. Advantages  Ordering the food online while travelling by train. Provide more comfort for the users in ordering the food. To avoid the unhygienic railway catering system. The passengers can overcome the problems faced regarding their food needs. Complaints / Reviews can also be given about the food services  Disadvantages  Due to unhygienic food provided in trains, passengers’ health will be affected. Without good food, small children in train journey also will have health problems like indigestion etc.  SYSTEM REQUIREMENTS  Software Requirements and Hardware Requirements:  Software   Operating system: Windows Coding language: Android SDK Toolkit: Android 5.0 IDE: Eclipse  Hardware  System: Pentium IV 2.4 GHz Hard Disk: 80 GB Monitor: 15 VGA Color RAM: 2 GB  Runtime environment:  Device : Mobile / Tablet OS: Android Minimum Version : 0 Ice Cream Sandwich   SYSTEM ARCHITECTURE: The user can create and organize tasks or actions by interacting with a user interface (UI). UI internally interact with Restaurant where all the tasks are based on customer and order of the action to be performed or on the basis of priority. At ant time order placed, the dispatcher dispatches the order placed successfully message to the user console. ER Diagram for Restaurant, User and Orders:  FUNCTIONAL AND NON-FUNCTIONAL REQUIREMENTS Functional Requirements  The user can create/view the actions which are already performed and to be performed in the future. The user can divide the actions based on the category. The user can view and add the categories. The user can also view and add the tasks in Restaurant Manager. The user can prioritize the actions. The user can view the actions, which are selected. The user can order the items as per the requirement. The user can make use of PNR number can directly communicate with the Restaurant Manager.  Use case Diagram:  Use Case Specification for User Primary Actor: User Secondary Actor: Database Precondition: Click On the Icon of Food Application Post Condition: Add an action into a database or Delete an action from the database. Basic Flow:  Click on the Items in Item List. Click on Item Name button to add an action. Enter the information such as  Checking for available items Items Name, Item cost, Active are Inactive Conformation to User Receive Order Payment (COD)   Click on the Review button for Restaurant Rating Click on go back and logout to end the task  Alternate Flow:  The user can enter his login id and password to order any other items.  Use Case Specification for Restaurant: Primary Actor: User Secondary Actor: Database Precondition: Actions/Tasks must be added in Inbox. Post Condition:           Retrieve information from database and display information on UI.  Basic Flow:  Click on the Notification received from the user. Give the confirmation to the user. It displays order ID, delivery boy contact number, total amount. It displays information about the duration of the delivery of the order.  Alternate Flow:    If the mentioned PNR number is wrong then the order may not be considered in that case the restaurant module calls the user requesting to check his PNR number.  Class Description  Description for Bootstrap Activity class:    Attributes: Purpose:  Launching Food Application  Description for Login Activity class: Attributes: Guest Button, LoginButton1, Register Button Email edit- text, Password edit-text.    Purpose:   Ask the user to demonstrate with predefined categories.   Description for Restaurant Activity: Attributes: Orders Menu Items, Reviews. Purpose: Display List of options  Description List Orders Activity: Attributes:  Button Pending, Button completed. Purpose:  Action information is displayed to the Restaurant.  Description for Review class: Attributes: List Reviews, Rating Bar. Purpose: Displays the list of action based on category.  Description for Menu Items class: Attributes:  List all Items, Button Back, Button check. Purpose: Displays the list of actions based on a task created  Description for Pending Order Activity class: Attributes: List pending Order Purpose: Help the Restaurant to create a new action.  Description for Selected Items class: Attributes:  List Selected Items, Button Back. Purpose: Asks the user to enter the action information. Description for Items Details class: Attributes: Edit text cost, Item number, Radio group status, Button Submit, Button Cancel. Purpose:  Display the Details to the user.  Description for Order Details class: Attributes: ID No, User Name, User Phone No, Items, PNR No, Cost Purpose: Used to display user details category. Description for PNR status class: Attributes: Passenger Date, Coach, Train No, Berth No. Purpose: Used for user details for the order delivery for a new task. Description for Train Details class: Attributes:  Web view Purpose: Used for knowing the current running status of the train. Description for the User Activity: Attributes: Station, spinner, get Button Purpose: Used to create a new task by the user. Description for the List of Restaurant class: Attributes: Name, Rating, List of  Restaurants. Purpose: Displays the list of Restaurants.  Description of the Restaurant Items class: Attributes: List items, cost, items name, checkbox, write a review, Button next. Purpose: Displays items available at the restaurants and to create a new category. Description of the Write Review class: Attributes: Edit description, rating, submit. Purpose: Displays reviews of the user for the restaurants.  Description of the List Items class: Attributes: List Items, cost, Button cancel , order now. Purpose: Displays the list of items.  Sequence Diagram:  Collaboration Diagram for FoodApp:  For creating Orders and User Actions from it:  Collaboration Diagram for Creating Orders:  For creating Receiving Order to User Action:  Collaboration Diagram for Receiving Orders:  Activity Diagram:             "
