,DotNetUrls,Heading,DotNetContent
0,http://1000projects.org/online-fee-challan-generation-project-synopsis.html,online fee challan generation project synopsis.," INTRODUCTION: The project is a web-based application where the user can generate Challan to pay the fee. The system automates the conventional process of generating Challan by visiting the college website. The system would be having two logins: Admin and User Login. Admin can view student details and can even add or update things in their account. Modules:            Admin login Student/user login Student details The Fee details Dues  Software Requirements:  Windows XP,Windows 10 Sql 2012 Visual studio 2017  Advantages:  This software is user friendly you will automatically feel the difference in managing the fee challan things on the implementation of software It perfectly manages the fees by creating the student profile with demographic information, contact details and parent information Using this software is completely safe It also offers quick payment   Disadvantages:  User must have a reliable internet connection             "
1,http://1000projects.org/online-laundry-management-system-project-synopsis.html,online laundry management system project synopsis.," Online Laundry System is an Integrated System of Laundries functional work, organize and maintain the Data necessary for operations. This Online Laundry System provides user-friendly dashboards with login access for Admin, Web Admin, Accountant of Laundry. Online Laundry System has modules to manage Customer Invoices for Pisces, weight, Package, Delivery of Pisces, weight, Package wise, and Barcode Generations many more. It has a fully-fledged Human Resource module to manage the payroll and pay slips.            Front End: ASP.NET, C#, Entity Framework Back End: SQL Server 2017  The modules included in the Online Landry System are as follows:  Customer Registration: This Module Created and Registered new Customer in an application with their necessary and Basic information. Admin has Rights to create, Edit View and Delete all customer information. Search Customer also included in this. Invoice Generation: After Registered customer, Admin can create Invoice for Customers.  Customer Have three option-1) He/She can choose Pisces wise Invoice-He/She can give a Clothes by Pisces wise. 2) He can choose Weight wise Invoice.-He/She can a bunch of cloth weight wise. #) He can choose Package wise Invoice.-He/She can select a package for a month, in that no of Pisces are fixed. In one screen admin can able to create an invoice and also he can see a last all invoices for a particular customer. Bar Code Generation: Admin can generate a Bar Code for all selected items for a particular invoice for a customer. After generation, he can able to print barcode on label printer and tag on clothes. Delivery: Admin can Deliver cloths depend on their status-(Ready, Pending, Delivered), Different Color show Different status, He can also take Remaining payment from and generate an invoice for taking payment. Reports: Different Report are a presence in a system like  Customer List, Due Payment, Daily Collection, Garment-wise Collection, Cash Book, Customer Total Business etc.   Dash Board– User-Friendly Dashboard available. Graphical Representation is also available. which shows   Total Business Financial Collection.   SMS Integration –This system also includes SMS sending on all action and transaction performed for a customer like a Customer Registration, Invoice generation, Payment given etc.             "
2,http://1000projects.org/online-medicine-donation-system-portal-asp-net-project.html,online medicine donation system portal asp net project.," Objective: The aim and objective of this medicine donator project are to prepare a portal for the collection of unused medicine for further utilization by a needy person. The website must be like user can donate the unused medicine to NGO. That NGO can help needy people. The user can donate the medicine. It’s can be claimed by NGO.  They can collect from a particular place. There must be a login for the user, ngo, admin. Admin can see all details of user donated medicine. There must be a form like registration of the new user. Medicine donate form. It’s must be tracked in the SQL Server database. Project Description:           The Project is about the collection of medicine which is unused by the patient who recovers completely and medicine becomes waste that medicine can be collected and used further. Modules:-  Membership and Registration:- To register and get membership donation of medicine. NGO Details:- Different NGO’s can connect with portal and donate Medicine. Donator’s details:- To Keep Donators details. Help Desk:- To solves query of people. Complaint and Suggestion:- Forgiving views and suggestion and also complaints if any. Invoice:-Generate an invoice to give a record of their donated medicine. Record Management:- To maintain the entire record properly about donators and their donation. Collection of medicine:-Collection of medicine through courier.  Features:-  Easy to Access User-friendly Reliable and coordinative Easy to handle  Tools and Language:-  Frontend: ASP.NET Back End: SQL Management System     Requirements Requirements description   Registration for a new user The user firstly needs to register with the website.   Sign in for an existing user The existing user can sign in directly to the website.   Donation of medicine The user can donate any kind of medicine.    Selection of  NGO The user can select the NGO.   Advance notification to the user The user will get a prior notification once the collection team will reach at the user end.   Notification through email The user will get a notification once the medicine is delivered.   Feedback form The user can fill up the feedback form.               "
3,http://1000projects.org/online-medicine-search-web-application-net-project.html,online medicine search web application net project.," SYNOPSIS This “GOOGLE A MEDICINE” is an online medicine search web application. This application allows a visitor to search for a medicine and addresses of medical stores (wholesale and retail sales) where the medicine is available. This application is a solution. So, this web application is planned to develop based on the requirements of the client. The client is a small scale pharmaceutical company that is distributing generic medicines to emergency medicines and having a good network of medical (retail) stores. Main need of the client is to prepare an online application to help the needy people in finding the availability of the medicine and a list of medical stores where the medicine is available. The visitor can quickly find the nearest medical store by selecting the area in the search tools. This application also provides a login account to a registered medical store. Using this account a person from the medical store can update the list of medicines and their stock on daily-wise. This avoids providing outdated data to the visitor.           Emergency medical services for chronic health problems are depending on the availability of medicines. Most of the times, unavailability of medicines affect the lives of deceased persons. Addresses of medical shops that are providing 24 hours service should be made available to all. Some medical shops provide door delivery service for the needy people in an emergency even though the medical shop or distributor is not providing 24 hours service. PROJECT DESCRIPTION The application software is titled “ GOOGLE A MEDICINE ”.The tailor-made software which suites the requirements of a medicine searching software is developed using ASP.NET as front end and SQL SERVER as the backend This project is an online medicine search web application. This application allows a visitor to search for a medicine and addresses of medical stores (wholesale and retail sales) where the medicine is available. This application is a solution. So, this web application is planned to develop based on the requirements of the client. This project contains the following module: PUBLIC PAGES MODULE: These modules are useful in providing information to a visitor (login is not required) about the website and contact address and numbers. The homepage displays the main features of the website. MEDICAL STORE MODULE: These modules can do add a new medicine to list, manage existing Medicines List, and edit or Update medicines stock and maintain the application settings MEDICINE SEARCH MODULES: This module can do for Search and advanced search for search results and search results filtration ADMIN MODULE (Operator): These modules allow an administrator of the website to manage cities and manage master data. And also provide Manage Medical Store User Accounts. DATA FLOW DIAGRAM:  USER, ADMIN, USERLOGIN, MEDICINE SEARCH, BLOOD SEARCH, SEND QUERIES Dataflow Diagrams:    UML DIAGRAMS Use Case Diagram: Visitor and Facilities  Use Case Diagram: Medical-Member and Facilities  Use Case Diagram: Blood Bank-Member and Facilities  Use Case Diagram: Administrator and Facilities  USE CASE RELATIONSHIP DIAGRAMS  ACTIVITY DIAGRAM FOR ADMINISTRATOR’S ACTIVITIES  ACTIVITY DIAGRAM FOR MEMBER’S ACTIVITIES  HARDWARE SPECIFICATION: Processor: Pentium IV Ram: 2 GB RAM Hard DDisk: 80 G.B Hard Disk  SOFTWARE REQUIREMENTS Operating System: Windows Server RDBMS: SqlServer Web Browser: Internet Explorer Web Server: IIS Technology: ASP.NET Languages used: C#.NET DATABASE DESIGN TABLENAME: USER LOGIN    ColumnName DataType Description   Sno Int Sno   UserID Varchar(10) UserID   LoginTime Datetime LoginTime    TABLENAME: USER QUERIES     ColumnName  DataType Description   UserID Varchar(10) UserID   UserQuery Varchar(max) UserQuery   Reply Varchar(max) Reply   Status Int Status     TABLENAME : BLOOD BANKS        ColumnName  DataType Description   Sno Int Sno   UserID Varchar(10) UserID   BankName Varchar(50) BankName   Bgroup Varchar(10) BGroup   Stock Int Stock     TABLENAME: MEDICINES    ColumnName  DataType Description   Sno int Sno   UserID Varchar(10) UserID   MedicineName Varchar(100) MedicineName   Dosage Varchar(50) Dosage   Stock int Stock   Pdate DateTime Pdate     TABLENAME: PASSWORD    ColumnName  DataType Description   UserID Varchar(10) UserID   SQuestion Varchar(100) SQuestion   Answer Varchar(100) Answer    TABLENAME: USER DETAILS    ColumnName  DataType Description   UserID Varchar(10) UserID   OrgName Varchar(100) OrgName   Area Varchar(100) Area   Address Varchar(200) Address   City Varchar(50) City   Contactphones Varchar(50) Contactphones    TABLENAME: USER    ColumnName  DataType Description   UserID Varchar(10) UserID   OrgName Varchar(100) OrgName   Area Varchar(100) Area   Address Varchar(200) Address   City Varchar(50) City   Contactphones Varchar(50) Contactphones    TABLENAME: USER    ColumnName  DataType Description   Sno int Sno   UserID Varchar(10) UserID   Password Varchar(10) Password    Download the below attached Online Medicine Search Web Application .Net Project Source Code & database  Attachments   # File Description    1  Medicine   Download Online Medicine Search Web Application .Net Project Source Code                 "
4,http://1000projects.org/web-based-training-management-system-net-project.html,web based training management system net project.," PRELIMINARY INVESTIGATION 1) Interview: For making software for a company, we need knowledge of their existing system. For this purpose, we take interview of some persons working in that company. We gather information from taking interview of that person who is related with this software. As- Training Coordinator, Hostel Warden, Trainee, Guest Faculty. 2) Group Discussion:           It was the discussion among the company people who were involved in the project. At first, many ideas were pooled in and existing themes, concepts which the other web applications were using were chosen. And then all these ideas were brought into action by the programmers. 3) Online observation : It is the process of getting close details of the existing software or web application from the internet. The major objective is to get as close as possible to the system.The information on the TRAINING MANAGEMENT SYSTEM software was obtained from the existing web applications which are running successfully. 4) INFORMATION DESCRIPTION Training Management System and web application:-. 1) The purpose of the application is to help the director to get details about the training, hostel, feedback, employee, expenses etc. 2) Training Details, Feedback Report, Bill generate automatically. 3) It helps the Training Coordinator to manage the training details, Trainee Information easily. 4) This application also helps to hostel Warden to manage the hostel and mess details in an easy way. 5) This application is also useful for manage detail of Guest Speaker and their lecture information. 6) It helps to manage all visits during training. 7) It also calculates the total gain and expenses of walmi from a training. Project Objective To facilitate the process of management of training. To provide a software for managing trainee registration and maintaining the records. To generate feedback information from trainees in different aspects. To generate feedback report for a particular duration. To maintain an account for a training easily.  Project Introduction The application provides a login facility to different uses of the organization. If the login successfully then they use their form. The application provides facility to manage trainee record and account for a training to the coordinator. The application provides facility to hostel warden to maintain the record of a trainee who is staying in a hostel. With the help of this application, the Director sees the feedback report in a different aspect. This application is useful for calculating expenses for a training and also calculate profit. Data Flow Diagrams: Data Flow Diagram of Trainee: Context Level DFD:  Level 1 DFD:  Level 2 DFD:  Level 3 DFD:  Minimum Hardware Requirement Microprocessor : Pentium or Core-i series. Primary Memory (RAM) : 512 MB Secondary Memory (Hard Disk) : 16 GB Video Display Unit : VGA Monitor. Compact Disk Drives : 52x CD-ROM. Keyboard : 101 Key Enhanced Keyboard. Mouse : Serial Mouse. Data flow Diagram for Training Coordinator Context Level DFD:  Level 1 DFD:  Level 2 DFD:  Level 3 DFD:  Data flow Diagram for Guest Faculty:  Software Requirement Operating System : Windows XP , Windows Vista , Windows 7 Language : Asp.net (C#.net) Database : SQL Server 2005 Browser : IE, Mozilla Firefox ER Diagram:  Use Case Diagram:  LIMITATION  After every lecture, we have to maintain the honorarium record. There is no provision for suggestion box in feedback form as it was omitted by concern authority.   Only Check-in and check-out record from the hostel is maintained within the software.  FUTURE ENHANCEMENT  Online booking facility. We maintain an attendance record of a trainee during training. We Provide male – female reservation in hostel.  Above limitation can be rectified as per authority requirement Tables Description:  This is table of “CouFac”, In this table we put the information of department of faculty head.  This is table of “Amount”, In this table we put the information of Amount of whole Training..  This is table of “employee”, In this table we put the information of employee.  This is table of “Faculty”, In this table we put the information of UserId and Password.  This is table of “gTraining”, In this table we put the information of lecture of Guest Speaker..  This is table of “Guest”, In this table we put the information of Guest Speaker..  This is table of “hostelCharges”, In this table we put the information of hostel charges..  This is table of “HostelEntry”, In this table we put the information of trainee stay in hostel.  This is table of “Trainee”, In this table we put the information of trainee comes for training.  This is table of “Training”, In this table we put the information of training conduct in organization.  This is table of “Transport”, In this table we put the information of transport used for training.  This is table of “FeedBack”, in this table we put the information of feedback of trainee given for training. Conclusion: We made a “Web Based Training Management System” for water and land management institute. This application provide them a automated system, which is very time saving then existing system in walmi. We test this application by the different testing method and it works properly hence it is useful for the organization. This application easily manage the training system.  Attachments   # File Description    1  training   Download Web Based Training Management System .Net Project                 "
5,http://1000projects.org/loss-control-system-for-insurance-producers-net-project.html,loss control system for insurance producers net project.," Introduction Insurance companies issue various types of policies to protect home and business owners from various types of unforeseen calamities such as fire, floods, theft etc.  However, prior to issuing or renewing a policy, the insurance company conducts a field survey of the property to ensure that the property is adequately secured and is not vulnerable to damage.  Thus the insurance company ensures that the chances of damage or loss are controlled.  For example, if a petrol pump has to be insured, the petrol pump owner should provide for adequate fire safety equipment, signboards prohibiting smoking near the fueling area etc. In order to conduct these surveys, the insurance company enlists the services of independent surveyors residing near the property.  These surveyors are trained personnel and are pre-approved for certain types of activities.  The aim of the project is to develop a system used by insurance companies and surveyors to record the surveys to be done, assigning a surveyor to conduct the survey, capture, and approval of survey results, recording and approving of the surveyor’s Time and Expenses (T&E) Report.            Workflow of the proposed system  Detailed Functionality   1.    Record the Surveys to be done Prior to issuing or renewing an insurance policy, the underwriting department raises an RFS (Request for Service) in LCS.  The details to be entered include – Location to be surveyed Type of insurance coverage (fire, theft, flood etc.) Date by which the survey should be completed Surveyor ID  (to be searched based on the location’s pin code) Type of service requested (eg. Survey.  In future, the same system can be extended to verify insurance claims) The estimated budget for the survey (This is the amount of money that the insurance company is willing to spend towards surveyor’s T & E) The underwriter may also attach a copy of insurance policy application to RFS.   Working with an RFS   Once an RFS is assigned to a surveyor, he/she starts working on the RFS.  The surveyor should be able to query the status of various RFS’s assigned to him/her.  Typical activities that are carried out by Surveyor on RFS include – Scheduling a visit to the location – Enter the scheduled date and time in the system and update the status. Survey the location and Write a Survey report – Attach the survey report to RFS on completing the site visit. Writing recommendations and following-up on recommendations – Writes recommendations on the corrective actions to be taken at the location and updating the action taken on the recommendation. Entering time and expense details – Record the time and expenses incurred to carry out the survey and the follow-up actions.  These details have to be entered by date and activity. Close RFS – After all the details are entered, the surveyor closes the RFS.   Approving Time and Expenses   The underwriter reviews the T&E reports and either approves or disapproves the expenses based on the budget. In case it is disapproved, he/she cites the reasons for disapproval.  The surveyor is informed to update the expenses accordingly. If it is approved, it is sent to the finance section for payment.   Reporting   This module generates various reports for surveyors and underwriters. For surveyors –  List of RFS by status,  List of RFS received or completed during a given period, Report on T & E for a given period For underwriters – List of RFS by status (across surveyors or for a specific surveyor), List of RFS raised or completed during a given period,   T&E claimed and paid during a given period. UML Diagrams: Use Case Diagram:  Sequence Diagram:  Activity Diagram:  Class Diagram:  REQUIREMENTS Software Requirements: Visual Studio .NET Front-End: C# in ASP.NET Back-End: SQL Server Hardware Requirements:  RAM: 2 GB Hard disc: 80 GB Test Cases:    s.no Test case name Test procedure Pre-condition Expected result output Specification   1 Login Enter userid and password  Displays pay bills form success Login   2 Login Enter admin and password   "
6,http://1000projects.org/motor-vehicle-loss-and-damage-claimform-net-project.html,motor vehicle loss and damage claimform net project.," MOTOR VEHICLE LOSS AND DAMAGE CLAIM FORM (E-COMMERCE TEAMWORK) Project Requirements In the motor vehicle, damage and loss can be claimed online by client and insurance company store those data.           In this client fills his personal information and then the vehicle information and incident information and claim detail. Then when the client submits the claims details form it generates the flat file and stores the entry in the database of client side. When the server will check the form of server-side and will enter claim bill number if that flat file does not exist then will show file is corrupted and if the file exists then will show all the information and if the server accepts that the information is stored in the server database. Data dictionary  Client Database     Field name Data type  Description   Policyno Numeric Take policy no of client   Poexdate Date/time Enter policy exp date   Cliename Text Enter client name   Address Text Enter address   City Text Enter city   Pincode Numeric Enter pincode   Mobile Numeric Enter mobile number   Comname Text Enter vehicle company   Model Text Enter vehicle model   Serialno Numeric Enter vehicle serial number   Yearofpurchase Numeric Enter vehicle purchase year   Purchasefrom Text Enter the place from where vehicle purchase   Purchasebillno Numeric Enter the billno   Dateofincident Date/time Enter date of incident   Incidentadd Text Enter incident address   Incidentinfo Text Enter incident information   Firdate Date/time Enter fir date   Policystation Text Enter police station name   Claimdate Date/time Enter the date on which client claim   Claimby Text Enter the name who claim   Claimbillno Text Enter Claimbillno(p.k)   Claimamount Numeric Enter the claim amount     Server Database     Field name Data type  Description   Policyno Numeric Take policy no of client   Poexdate Date/time Enter policy exp date   Cliename Text Enter client name   Address Text Enter address   City Text Enter city   Pincode Numeric Enter pincode   Mobile Numeric Enter mobile number   Comname Text Enter vehicle company   Model Text Enter vehicle model   Serialno Numeric Enter vehicle serial number   Yearofpurchase Numeric Enter vehicle purchase year   Purchasefrom Text Enter the place from where vehicle purchase   Purchasebillno Numeric Enter the billno   Dateofincident Date/time Enter date of incident   Incidentadd Text Enter incident address   Incidentinfo Text Enter incident information   Firdate Date/time Enter fir date   Policystation Text Enter police station name   Claimdate Date/time Enter the date on which client claim   Claimby Text Enter the name who claim   Claimbillno Text Enter Claimbillno(p.k)   Claimamount Numeric Enter the claim amount    Snapshots CLIENT SIDE FORM   Client filled form and by clicking on submit button flat file is generated and will be stored in client database.  ALL THE VALIDATIONS  FLAT FILE GENERATED  Server-side form  Sever side auto-filled from by entering a claim bill number and pressing read button and by pressing the save button will be stored in the database. Download the below-attached Loss or Damage Claim form for Motor Vehicle project code  Attachments   # File Description    1  Motorvehicle   Download Motor Vehicle Loss And Damage Claimform .Net Project Code                 "
7,http://1000projects.org/west-bank-management-system-net-web-application-project.html,west bank management system net web application project.," System Analysis System Summary: The West Bank Management System project involves the creation of a Web application that will enable the customers of West bank to: View the details of all accounts that they hold with West Bank. View the accounts statements for all accounts that they hold with West Bank.            Apply for loans online. View the status of loan requests. Requests for checkbooks for any of their accounts. View the status of checkbooks requests. Transfer funds from any of their accounts to another account in West Bank. The Web application will also be used by the employees of West bank to process the requests for loans and checkbooks.  In addition, the application will be used by the administrator to: Create User-IDs for customers, employees, and administrator and assign them the respective roles.  Link User-ID created for customers to the respective Customer-IDs. Upload, edit and delete news items that will appear on the homepage. Upload, edit and modify the information related to various types of loans. Upload, edit and modify the information related to various types of accounts.  Each of the three types of users should also be able to change their password and retrieve their password in case they forget the password. West-Side bank already has a computerized system in place that maintains the details of all the customers and accounts. The proposed Management System Web application will use the existing database to obtain the details of customers and accounts. Some additional tables may have to be created in the database to accommodate the specific requirements of the Web application. HARDWARE & SOFTWARE REQUIREMENTS Hardware: CPU, Mouse, Keyboard, CDs, Printer etc. Operating System: Window 7 Home Basic-E Series, I3 Processor Software: Microsoft SQL Server 2008, Microsoft Visual Studio 2008, Microsoft Office etc, Microsoft Office Word, Microsoft Office Visio, Google. UML Diagrams: Administrator Accounts Diagram  Customer Accounts Diagram  Employee Accounts Diagram  ER Diagram:  Database Coding: Database Name Westbank Car_Loan Tables Details:  State_Name Current_City_Date Current_City_Month Current_City_Year Residence_Type Current_Residence_Date Current_Residence_Month Current_Residence_Year Date_Of_Birth_Date Date_Of_Birth_Month Date_Of_Birth_Year Model_Of_Car Employement_Type Salary_Deposit_Yes Salary_Deposit_No  Table Create_Account Details:  First_Name Last_Name DOB_Date DOB_Month DOB_Year Address City State Pincode Country Phone_No Email Mobile Status  Table Enrollment_Form Details:  First_Name Last_Name Address City State ZipCode Country Tax_Id Home_Phone Mobile Fax_N0 Email  Table Locate_Your_Branch Details:  Branch Address Telephone Fax ATM Lockers IFSE_Code Working_Time  Table Saving_Application_Form Details:  Title First_Name Last_Name Address Pin_Zip_Code City Nearest_Branch Email Residential_PhoneNo_STD Residential_PhoneNo_Phone Office_No_STD Office_No_Phone Office_No_Extn Mpbile_No  Table Customer_Acc_Create Details:  Account_Type Customer_ID Minimum_Balance Opening_Balance Overdraft Fixed_Deposit  Table Customer_Acc_Update Details:  Account_Type Customer_ID Minimum_Balance Current_Balance Status Overdraft Fixed_Duration_Deposit Maturity_Date  Table Emp_Create_Transaction Details:  Transfer Withdraw Deposit From_Acc_No To_Acc_No Amount  Table login Details:  User_Id Password Users   Attachments   # File Description    1  bankingmanagement   Download West Bank Management System Project Code                 "
8,http://1000projects.org/crystal-market-e-kart-web-portal-project.html,crystal market e kart web portal project.," Abstract This concept basically related to a portal which will allow dealers or vendors and customer linking on a common platform. This portal will be a web platform wherein vendor will register and add crystal products. They can also differentiate and highlight special crystals as per horoscope ( as they have a huge market). Once crystals are added they will be available for sale which can be searched and added to kart by customers for buying. Portal will provide an easy to use and responsive website.  Project Description in Brief:  The requirement will be to develop an admin module which will be used to sell products, register vendors, register customers, cart functionality and related crystals functionality. We can also manage coupons from admin panel. This will also involve web service / API which will communicate with Website front end and database and save data securely via admin panel.  We will also have employee management wherein executives delivering the sold products to customers will be registered and in turn, will track the delivery part. The application will involve order management and delivery. This will involve executive, the order created and tracking id.  The application will have an informational part too like About US, Terms & conditions, Privacy policy etc which basically will be static pages.  User Types: Admin, Customer, Employee logins (no vendor login as discussed)            Admin will have access to all modules in the web and can monitor everything in the application. Customer / Buyer will have access to crystal products view and can browse through and access offers and then finally add products to the kart and order the same. The employee is basically the delivery executive login who will actually manage the deliveries and will have access to the related delivery management screens only Vendor / Seller is basically related to sellers who will register themselves, add their products to the admin panel and the added products will be marketed via the website.   Modules:  Users Modules: Will involve login, registration and log out as the basic functionalities. Users will also have My basket functionality to manage the crystal products added to the kart. My orders will deal with the story of transactions and orders for a logged in and registered customer. My profile will have edit, delivery address manage option, change the password and other details that are necessary.  Admin Panel: Admin being an important module will manage delivery executive employees and their delivery history as it will be linked to order and delivery management. Customers also will be managed by the admin panel. Vendors will register to the application and we can manage vendors via admin panel. Registered vendors will be able to add their products which will be advertised for sale in the crystal market portal. Admin will most importantly manage the categories and subcategories that are involved in adding products and then their sales via the portal. It will also manage the filters that will be provided for searching for various types of crystals.  Kart Module: This Module actually will handle the addition of crystal products which are anticipated to be ordered by a viable customer.  It will be then linked to order management and delivery tracking.  Delivery / Order tracking: It will basically show which order is linked to a particular executive as admin will assign it to a particular executive. Complete delivery status can be tracked in this module. As per order management is concerned once a product is confirmed in kart it will be transferred to order tracking as an order id is assigned to it. And then a delivery executive is assigned an order. This workflow actually provides a flexible tracking system. Future Enhancements:  We can come up with SMS alerts for delivery tracking and registration messages. We can provide reports module with a different type of reports for admin login related to sales, order and delivery reports.  We can also introduce a comprehensive invoice module too. Add coupon management system via admin panel   Technology to Use  HTML5, CSS3, JavaScript & jQuery for markup, design and interaction behavior Bootstrap / Angular JS will be used for making the site responsive and as a framework. PHP (CodeIgniter, CakePHP, Phalcon or Laravel) OR .Net with framework MySQL SQL Server  Hardware Requirements: Intel Core processor  RAM 4GB and Above HDD 100 GB Hard Disk Space and Above 64 or 32 bit OS Windows 8 and above            "
9,http://1000projects.org/student-feedback-system-net-project.html,student feedback system net project.," This project is a .net based website which is getting all the feedback from the student through online. Modules included in the project are below:  Admin Coordinator Faculty Student  Output Snapshots and description for the admin, Student and Faculty Modules:           Admin page: Admin Login Page:  ADMIN HOME PAGE: ADMIN -> STUDENT REGISTRATION FORM  ADMIN FACULTY REGISTRATION FORM:  ADMIN NO. OF USER LIST: ADMIN FEEDBACK REPORT AT EVERY MONTH The percentage is calculated by taking the reference from the no. of students. ADMIN CHANGE PASSWORD :  Coordinator  Homepage: Coordinator Adding subject : Coordinator adding feedback questions: Coordinator View added the subject : Coordinator assign subject to the lecturer  Faculty Homepage: Faculty add the student • Student list who all registered for there course and a particular subject. That should automatically come to the student name in their form. • And they should select the student who opted for the subject and gives them rights to them to give the feedback. • The student who are regularly attending the classes they should only give it. Added student list will be displayed on another page.  Student home page Student change password Student feedback form  This questions should automatically come from the coordinator added question list. If this student doesn’t have permission to give feedback on this subject that should disable those rows automatically. This complete Student Feedback System project front-end developed using visual studio 2010 backend SQL server database. Download this Student Staff Feedback System .Net Project Code, Database Files, Attached the latest updated code with all feedback functionalities.            "
