IotProjectsbody(These are the below 150 advanced IOT major ECE and EEE Major projects developed for B.Tech/M.Tech Students.),,,,,,,,,UrL
Smart garbage bin municipal operations.,,,,,,,,,
Agri-bot : Agriculture robot.,,,,,,,,,http://1000projects.org/advanced-major-project-list-ece-eee.html
Swatch Bharat – washroom cleaning robot,,,,,,,,,
Smart trolly for easy billing using raspberry pi and IOT.,,,,,,,,,
Industry Product sorting machine with weight identification over conveyor belt.,,,,,,,,,
Advance surveillance robot using a raspberry pi.,,,,,,,,,
Intruder alert system : IOT based home security with E-mail and photo using raspberry pi.,,,,,,,,,
Web application based home automation using raspberry pi.,,,,,,,,,
Smart electronic wireless notice board display over IOT.,,,,,,,,,
Vehicle security system with engine locking and alerting over GSM.,,,,,,,,,
Smart toll plaza with RFID based door opening system and balance alerting over message.,,,,,,,,,
Smart Medicine pill box : Remainder with voice and display for emergency patients.,,,,,,,,,
Accident identification based alerting location over GSM and GPS.,,,,,,,,,
Railway Track Pedestrian Crossing between Platforms (Movable and flexible railway platform).,,,,,,,,,
Greenhouse monitoring and Weather station monitoring over IOT,,,,,,,,,
Smart assistive device for deaf and dumb people.,,,,,,,,,
Semi-autonomous Garbage collecting robot.,,,,,,,,,
Solar power based grass cutting and pesticides praying robot.,,,,,,,,,
Automatic movable road divider with traffic detection and posting data to IOT,,,,,,,,,
Automatic car washing and drying machine with conveyor support.,,,,,,,,,
Real-time voice automation system for the college department.,,,,,,,,,
Patient health monitoring over IOT,,,,,,,,,
Automatic gear shifting mechanism for two-wheelers.,,,,,,,,,
A Smart Helmet For Air Quality And Hazardous Event Detection For The Mining Industry over wireless Zigbee,,,,,,,,,
Semi-autonomous firefighting robot with android app control.,,,,,,,,,
Smart Wearables: Emergency alerting with location over GSM for women’s.,,,,,,,,,
Smart movable travel luggage bag.,,,,,,,,,
Building smart cities: Automatic gas cylinder booking over GSM with user alert.,,,,,,,,,
Automation of dry-wet dust collection to support Swachh Bharat Abhiyaan and monitoring over internet of things (IoT),,,,,,,,,
Smart street lights and fault location monitoring in cloud over IoT,,,,,,,,,
GSM based notice display with voice announcements.,,,,,,,,,
IOT based smart irrigation system,,,,,,,,,
Smart cities: Traffic data monitoring over IoT for easy transportation / alternative route selection,,,,,,,,,
Dam gate level monitoring for water resource analysis and dam gate control over IoT,,,,,,,,,
Public water meter units monitoring and controlling water valve over IoT,,,,,,,,,
Density-based traffic light system with auto traffic signal transition for VIP vehicles/ambulance,,,,,,,,,
Wi-Fi based Wireless Device control for Industrial Automation Using Arduino,,,,,,,,,
Ghat road opposite vehicle alerting system with sound and vibration over android application.,,,,,,,,,
RFID based student attendance recording and monitoring over IOT,,,,,,,,,
"Smart colony : RFID based gate security system, street lights and water pump automation.",,,,,,,,,
