Title,Video Url,
Booking Photographer,https://www.youtube.com/watch?v=cCQRP5oM4QQ,
City Life,https://www.youtube.com/watch?v=0j_UVgWsqBE,
E-Magazine,https://www.youtube.com/watch?v=_NQYI6DZ3eU,
E-Tuitions,https://www.youtube.com/watch?v=-BrCdpv_sCI,
Magazine College,https://www.youtube.com/watch?v=881xKA0BVz4,
Event File Automation,https://www.youtube.com/watch?v=Fa9UkDXaX0M,
Learning Portal,https://www.youtube.com/watch?v=Iw85bMqTIRo,
Nirman  website,https://www.youtube.com/watch?v=iBn3bIKowYk,
Ship Management System,https://www.youtube.com/watch?v=7wJGsMcigOQ,
Placement Cell,https://www.youtube.com/watch?v=CaOv8ImVRXw,
Cancer Project,https://www.youtube.com/watch?v=E1Qfh0lZ378,
E-Procurement,https://www.youtube.com/watch?v=9jIm8sJv8vY,
knowledge-based community sharing system,https://www.youtube.com/watch?v=NW8_PQ3fQZk,
Offer-Bazar,https://www.youtube.com/watch?v=9qAZ5rqOYcI,
Online-E-Gas,https://www.youtube.com/watch?v=IYRBIVTgRTs,
Income-Tax-Return-Processing,https://www.youtube.com/watch?v=J2cWg9Nc20Y,
Online Staff Leave Management,https://www.youtube.com/watch?v=xxD6ZsB3sg0,
Employee-Expense-Management-system,https://www.youtube.com/watch?v=X96kXguEiZQ,
Exam Seating Arrangement System,https://www.youtube.com/watch?v=NmlsS8ddepI,
Color Hunt Gaming project,https://www.youtube.com/watch?v=Yk8lU_ixiDY,
Online Form Request,https://www.youtube.com/watch?v=v_VWT9ebKms,
Electronic-Veg-Market,https://www.youtube.com/watch?v=xoQrhMdLIbY,
Puyo Puyo (game project),https://www.youtube.com/watch?v=y0EFo8jG71s,
Magic Bounce Ball  (game project),https://www.youtube.com/watch?v=kjasJcc7nSU,
Satvara Matrimony,https://www.youtube.com/watch?v=NE2AyrtzmPY,
Query Handler,https://www.youtube.com/watch?v=FIsb-j22Q3U,
Grade Processing System,https://www.youtube.com/watch?v=6ZXXyCSvWfo,
AES–Photo Encryption,https://www.youtube.com/watch?v=_TkHwgQ3m3Y,
Image Enhancement,https://www.youtube.com/watch?v=nb3bcZOrPZI,
Paradarshia Corruption Free Economy,https://www.youtube.com/watch?v=AxnmX2rkniM,
Implementation Of Floyd’s Algorithm,https://www.youtube.com/watch?v=xBAVl_lh5r0,
Atm Location Search,https://www.youtube.com/watch?v=Q_-qYZhMFEs,
E-Farming,https://www.youtube.com/watch?v=otxi_wfAyV8,
Time Table Management System,https://www.youtube.com/watch?v=tYqpswjC7w0,
Admin Mall,https://www.youtube.com/watch?v=Z-R5b5tr8EU,
Bulls-Eye-Quiz,https://www.youtube.com/watch?v=ozM_jSFwAO8,
Smarter Work Management System,https://www.youtube.com/watch?v=Hcj6CS6-uM0,
Online Grievance Redressal System,https://www.youtube.com/watch?v=AtgZLFs61s4,
Real Estate Magicbricks,https://www.youtube.com/watch?v=SbyHvA1wcfI,
Apartment Management System,https://www.youtube.com/watch?v=AJsQ4aiwWno,
Medical shop Management System,https://www.youtube.com/watch?v=mhxXHkXctNQ,
Security Mail Communicator,https://www.youtube.com/watch?v=L4hPkuBWG8A,
Feedback Analysis Of interviews,https://www.youtube.com/watch?v=YUA9rZfQYS8,
Intelligent Hospital System,https://www.youtube.com/watch?v=S9lc1kTLAFc,
Tender Management System TMS,https://www.youtube.com/watch?v=MFdQYKULHVc,
Virtual Learning Environment (VLE),https://www.youtube.com/watch?v=mVwNpNZOxjI,
Online Loan Application,https://www.youtube.com/watch?v=q8hfuOJ385o,
Retail Purchase & Tracking System,https://www.youtube.com/watch?v=sNu5ZNL2lEw,
Opinion Mining For Social Networking Sites,https://www.youtube.com/watch?v=i5ogKNQfICo,
Project Information System,https://www.youtube.com/watch?v=SIprtLVmrso,
Student Friendly College Management System,https://www.youtube.com/watch?v=KM1MjpBhNbw,
Online Book Store,https://www.youtube.com/watch?v=Ftq0MdFO5fY,
Sentimental Analysis For Mobile Networks,https://www.youtube.com/watch?v=J-etsbowJnA&t=193s,
Report Generation System,https://www.youtube.com/watch?v=QiYLUoYykKw,
Feedback Information System,https://www.youtube.com/watch?v=yri48TG7zmc,
Health Prediction Management System,https://www.youtube.com/watch?v=LYT_zUf81yM,
